DISPATCH 1
loads:
1 0.00 
2 0.00 
3 18.07 
4 18.07 
5 4.39 
6 4.39 
7 4.39 
8 11.19 
9 11.19 
10 4.39 
11 15.44 
12 25.30 
13 29.90 
14 9.00 
15 6.17 
16 8.94 
17 37.45 
18 37.45 
19 37.45 
20 37.45 
21 37.45 
22 24.37 
23 21.53 
24 0.00 
25 0.00 
26 0.00 
27 0.00 
28 0.00 
29 0.00 
Pref:
1 136.18 1.0
2 101.77 1.0
3 2.11 1.0
4 76.26 1.0
5 2.69 1.0
6 23.68 1.0
lambda:
1 60.0 
2 30.0 
3 30.0 
4 30.0 
5 30.0 
6 30.0 
assets:
4 5.93 
5 5.93 
6 5.93 
* end dispatch *
DISPATCH 2
loads:
1 0.00 
2 0.00 
3 17.66 
4 17.66 
5 4.29 
6 4.29 
7 4.29 
8 10.93 
9 10.93 
10 4.29 
11 15.09 
12 24.72 
13 29.22 
14 8.80 
15 6.03 
16 8.73 
17 36.60 
18 36.60 
19 36.60 
20 36.60 
21 36.60 
22 23.82 
23 21.04 
24 0.00 
25 0.00 
26 0.00 
27 0.00 
28 0.00 
29 0.00 
Pref:
1 138.11 1.0
2 103.22 1.0
3 0.00 0.0
4 77.34 1.0
5 0.00 0.0
6 24.02 1.0
lambda:
1 60.0 
2 30.0 
3 10.0 
4 30.0 
5 10.0 
6 30.0 
assets:
4 11.85 
5 11.85 
6 11.85 
* end dispatch *
DISPATCH 3
loads:
1 0.00 
2 0.00 
3 17.16 
4 17.16 
5 4.17 
6 4.17 
7 4.17 
8 10.62 
9 10.62 
10 4.17 
11 14.66 
12 24.01 
13 28.38 
14 8.55 
15 5.86 
16 8.48 
17 35.55 
18 35.55 
19 35.55 
20 35.55 
21 35.55 
22 23.13 
23 20.44 
24 0.00 
25 0.00 
26 0.00 
27 0.00 
28 0.00 
29 0.00 
Pref:
1 138.11 1.0
2 103.22 1.0
3 0.00 0.0
4 77.34 1.0
5 0.00 0.0
6 24.02 1.0
lambda:
1 60.0 
2 30.0 
3 10.0 
4 30.0 
5 10.0 
6 30.0 
assets:
4 8.92 
5 8.92 
6 8.92 
* end dispatch *
DISPATCH 4
loads:
1 0.00 
2 0.00 
3 16.58 
4 16.58 
5 4.03 
6 4.03 
7 4.03 
8 10.26 
9 10.26 
10 4.03 
11 14.16 
12 23.21 
13 27.43 
14 8.26 
15 5.66 
16 8.20 
17 34.36 
18 34.36 
19 34.36 
20 34.36 
21 34.36 
22 22.36 
23 19.75 
24 0.00 
25 0.00 
26 0.00 
27 0.00 
28 0.00 
29 0.00 
Pref:
1 138.11 1.0
2 103.22 1.0
3 0.00 0.0
4 77.34 1.0
5 0.00 0.0
6 24.02 1.0
lambda:
1 60.0 
2 30.0 
3 10.0 
4 30.0 
5 10.0 
6 30.0 
assets:
4 8.82 
5 8.82 
6 8.82 
* end dispatch *
DISPATCH 5
loads:
1 0.00 
2 0.00 
3 16.14 
4 16.14 
5 3.92 
6 3.92 
7 3.92 
8 9.99 
9 9.99 
10 3.92 
11 13.79 
